ACTIVITY DATE,BUSINESS UNIT,VOLUME - HANDLED,TOTAL TIME - AHT (sec),AHT CALC,Sum of PRODUCTIVE TIME - ACTUAL (hrs),Sum of PRODUCTIVE TIME - SCHEDULED (hrs),Conformance CALC,Attrition,EOM Headcount,Attrition % CALC,System Outage (hrs),Unplanned out,Shrinkage,Regular Scheduled Time (no OT),Unplanned out % CALC,Shrinkage % CALC
1/7/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,28.5,62.16666667,167.25,17%,37%
1/7/2019,RIS,3224,1960192,608,476.785,582.5,0.818515021,0,0,,0,135,218.3333333,739,18%,30%
1/7/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,75.66666667,201.8333333,639,12%,32%
1/7/2019,WISE,9762,5399657,553.1301987,1652.141389,1762.583333,0.937340867,0,0,,0,282.6,568.6666667,2127.583333,13%,27%
1/8/2019,Client Transactions,2321,810561,349.2292115,189.8391667,262.0833333,0.724346582,0,0,,0,0,137.9166667,400,0%,34%
1/8/2019,Participant Transactions,3425,1449917,423.3334307,304.0177778,327.7608334,0.927559814,0,0,,0,33.75,198.0666667,574.9166667,6%,34%
1/8/2019,RAM,2661,2252455,846.4693724,430.3988889,446.6666667,0.963579602,0,0,,0,81.08333333,218.5833333,720,11%,30%
1/8/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,20.16666667,55.75,165.75,12%,34%
1/8/2019,RIS,3091,1882419,609,612.1952778,630.9333333,0.970301053,0,0,,0,110,189.25,732.1,15%,26%
1/8/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,77.33333333,211.1666667,638,12%,33%
1/8/2019,WISE,8405,4512164,536.8428316,1571.896389,1662.583333,0.945454196,0,0,,0,188.6666667,538.1666667,2108.833333,9%,26%
1/9/2019,Client Transactions,2310,871633,377.330303,225.8027778,270.25,0.835532943,0,0,,0,0,129.75,400,0%,32%
1/9/2019,Participant Transactions,2660,1386947,521.4086466,341.3591667,370.0833334,0.922384598,0,0,,0,30.25,177.25,570,5%,31%
1/9/2019,RAM,2927,2464817,842.096686,435.0433334,443.25,0.981485242,0,0,,0,51.5,178.25,715.5,7%,25%
1/9/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,26.5,59.58333333,153.5833333,17%,39%
1/9/2019,RIS,2851,1781875,625,584.4480556,595.0166666,0.982238126,0,0,,0,76.5,162.75,709.35,11%,23%
1/9/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,72.5,210.4166667,586,12%,36%
1/9/2019,WISE,7813,4201638,537.7752464,1460.613333,1530.5,0.954337363,0,0,,0,181.8,526.3,2052.666667,9%,26%
1/10/2019,Client Transactions,1956,855574,437.4100204,214.1577778,287.6666667,0.744465044,0,0,,0,1.5,112.3333333,400,0%,28%
1/10/2019,Participant Transactions,2505,1378640,550.3552894,346.9097222,398.1666667,0.871267615,0,0,,0,1.5,164.8333333,582.5,0%,28%
1/10/2019,RAM,2606,2213441,849.3633922,442.5658334,450.2500001,0.982933555,0,0,,0,32.75,198,711.5,5%,28%
1/10/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,26.25,69.5,153.75,17%,45%
1/10/2019,RIS,2793,1642284,588,501.8594444,523.1666666,0.959272592,0,0,,0,104,184.1666667,708.5833333,15%,26%
1/10/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,35.5,159.9333333,595.75,6%,27%
1/10/2019,WISE,7122,3798721,533.3784049,1451.506944,1577.75,0.919985387,0,0,,0,159.3333333,500.0833333,2093.75,8%,24%
1/11/2019,Client Transactions,2637,872486,330.863102,212.7680556,278.5,0.763978656,0,0,,0,8.166666667,121.5,400,2%,30%
1/11/2019,Participant Transactions,2869,1310127,456.6493552,314.2169444,370.8333334,0.847326592,0,0,,0,33.5,177.0833333,560.5,6%,32%
1/11/2019,RAM,2738,2203662,804.8436815,381.1783334,398.0000001,0.957734506,0,0,,0,47.25,215.25,703.5,7%,31%
1/11/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,45.75,78.58333333,164.25,28%,48%
1/11/2019,RIS,2696,1606816,596,642.8052778,659.35,0.974907527,0,0,,0.75,61.75,139.0833333,709.5166667,9%,20%
1/11/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,111.5833333,244,627,18%,39%
1/11/2019,WISE,7135,3791218,531.3550105,1463.903056,1579.033333,0.927088127,0,0,,0.716666667,216.5,550.3833333,2053.3,11%,27%
1/12/2019,Client Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/12/2019,Participant Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/12/2019,RAM,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/12/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/12/2019,RIS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/12/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/12/2019,WISE,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/13/2019,Client Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0.25,6,0%,4%
1/13/2019,Participant Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,2,49.5,0%,4%
1/13/2019,RAM,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/13/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/13/2019,RIS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/13/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/13/2019,WISE,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/14/2019,Client Transactions,3060,808860,264.3333333,210.3369444,283.75,0.741275575,0,0,,0,7,133.25,417,2%,32%
1/14/2019,Participant Transactions,3039,1585793,521.8140836,360.3408333,406.5833334,0.886265628,0,0,,0,43.16666667,150.6666667,571.25,8%,26%
1/14/2019,RAM,3028,2331025,769.8233157,392.0413889,399.9166667,0.980307703,0,0,,0,81.25,248.0833333,720.5,11%,34%
1/14/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,19,69.41666667,165,12%,42%
1/14/2019,RIS,3147,1863024,592,487.4477778,523.5,0.931132336,0,0,,0,76.41666667,177.5833333,709.5,11%,25%
1/14/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,100.7,244.45,659.5,15%,37%
1/14/2019,WISE,9613,5156798,536.4400291,1565.750278,1653.333333,0.947026378,0,0,,0,316.9166667,631.75,2103.25,15%,30%
1/15/2019,Client Transactions,3021,792773,262.4207216,206.6572222,269.5,0.766817151,0,0,,0,11,151.5,421,3%,36%
1/15/2019,Participant Transactions,2416,1298348,537.3956954,288.2922222,316.8333334,0.909917587,0,0,,0,29,209.6666667,574.5,5%,36%
1/15/2019,RAM,2598,2149037,827.1889915,371.8505556,400.3333334,0.928852345,0,0,,0,49.16666667,217.9166667,695.5,7%,31%
1/15/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,15.45,77.78333333,180.25,9%,43%
1/15/2019,RIS,2603,1452474,558,492.8888889,525.9216667,0.937190688,0,0,,0,98,211.5833333,711,14%,30%
1/15/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,60.33333333,235.6666667,645,9%,37%
1/15/2019,WISE,8267,4409195,533.3488569,1617.944722,1763.583333,0.917418923,0,0,,0,145.4166667,459.6666667,2247,6%,20%
1/16/2019,Client Transactions,2293,830748,362.297427,205.0925,268.5,0.763845438,0,0,,0,9,131.5,400,2%,33%
1/16/2019,Participant Transactions,2586,1191214,460.6395978,30.37027777,52.08333333,0.583109333,0,0,,0,8,240.25,555.9166667,1%,43%
1/16/2019,RAM,2708,2090452,771.9542097,344.1797223,367.1666667,0.937393706,0,0,,0,74.33333333,236.0833333,699.5,11%,34%
1/16/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,26.83333333,87.33333333,168,16%,52%
1/16/2019,RIS,2456,1395008,568,505.3702778,533.9166667,0.946533999,0,0,,0.333333333,42.5,156.8333333,815,5%,19%
1/16/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,20.75,196.1666667,626.1666667,3%,31%
1/16/2019,WISE,7994,4284673,535.9861146,1559.328333,1674.816667,0.931044194,0,0,,0,104.35,485.9333333,2203.833333,5%,22%
1/17/2019,Client Transactions,2211,1017898,460.379014,234.7330556,277.1666667,0.846902185,0,0,,0,19.5,137.4166667,421.5,5%,33%
1/17/2019,Participant Transactions,2384,1329694,557.7575503,330.5505556,337.9166668,0.978201397,0,0,,0,12.5,194.0833333,565,2%,34%
1/17/2019,RAM,2443,2047127,837.9562014,401.4252778,404.1666667,0.993217182,0,0,,0,70.61666667,232.3333333,696.25,10%,33%
1/17/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,11.75,82,168,7%,49%
1/17/2019,RIS,2236,1240980,555,459.8002778,494.0833333,0.930612807,0,0,,0,67,185.4166667,815.5,8%,23%
1/17/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,40.75,225.8333333,628.5,6%,36%
1/17/2019,WISE,7777,4112077,528.7484891,1373.886111,1440.997778,0.953426946,0,0,,2.25,99.5,505.5,2237.5,4%,23%
1/18/2019,Client Transactions,2716,909628,334.9145803,211.5786111,264.0833333,0.801181235,0,0,,0,12.5,155.9166667,420,3%,37%
1/18/2019,Participant Transactions,3146,1277902,406.1989828,306.0263889,352.5000001,0.868159968,0,0,,0,49,202,561.5,9%,36%
1/18/2019,RAM,2237,2096254,937.0827,354.0744445,399.25,0.886848953,0,0,,0,85,259.75,695.5,12%,37%
1/18/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,19.16666667,94.66666667,178.75,11%,53%
1/18/2019,RIS,2350,1301900,554,460.3011111,478.9166666,0.961129865,0,0,,2.916666667,96.25,218.8333333,671.75,14%,33%
1/18/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,34.83333333,279.1666667,658,5%,42%
1/18/2019,WISE,8221,4441683,540.2850018,1431.376667,1535.766389,0.932027603,0,0,,0,202.5,607.4833333,2217.5,9%,27%
1/19/2019,Client Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/19/2019,Participant Transactions,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/19/2019,RAM,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/19/2019,RCS PHONES,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/19/2019,RIS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
1/19/2019,SCS,0,0,#DIV/0!,0,0,#DIV/0!,0,0,,0,0,0,0,#DIV/0!,#DIV/0!
