,date,month,year,bu,Conformance CALC,System Outage (hrs),Unplanned out % CALC,Shrinkage % CALC,aht,Attrition %
94,2019-01-14,January,2019,RCS PHONES,#DIV/0!,0.0,12%,42%,,0.1
95,2019-01-14,January,2019,RIS,0.931132336,0.0,11%,25%,592.0,0.015873016
96,2019-01-14,January,2019,SCS,#DIV/0!,0.0,15%,37%,,
97,2019-01-14,January,2019,WISE,0.947026378,0.0,15%,30%,536.4400291272235,0.007194245
98,2019-01-15,January,2019,Client Transactions,0.766817151,0.0,3%,36%,262.4207216153591,0.042553191
99,2019-01-15,January,2019,Participant Transactions,0.909917587,0.0,5%,36%,537.3956953642385,0.033898305
100,2019-01-15,January,2019,RAM,0.928852345,0.0,7%,31%,827.1889915319476,0.02247191
101,2019-01-15,January,2019,RCS PHONES,#DIV/0!,0.0,9%,43%,,0.1
102,2019-01-15,January,2019,RIS,0.937190688,0.0,14%,30%,558.0,0.015873016
103,2019-01-15,January,2019,SCS,#DIV/0!,0.0,9%,37%,,
104,2019-01-15,January,2019,WISE,0.917418923,0.0,6%,20%,533.3488569009314,0.007194245
105,2019-01-16,January,2019,Client Transactions,0.763845438,0.0,2%,33%,362.2974269515918,0.042553191
106,2019-01-16,January,2019,Participant Transactions,0.583109333,0.0,1%,43%,460.63959783449343,0.033898305
107,2019-01-16,January,2019,RAM,0.937393706,0.0,11%,34%,771.9542097488921,0.02247191
108,2019-01-16,January,2019,RCS PHONES,#DIV/0!,0.0,16%,52%,,0.1
109,2019-01-16,January,2019,RIS,0.946533999,0.333333333,5%,19%,568.0,0.015873016
110,2019-01-16,January,2019,SCS,#DIV/0!,0.0,3%,31%,,
111,2019-01-16,January,2019,WISE,0.931044194,0.0,5%,22%,535.9861145859395,0.007194245
112,2019-01-17,January,2019,Client Transactions,0.846902185,0.0,5%,33%,460.3790140208051,0.042553191
113,2019-01-17,January,2019,Participant Transactions,0.978201397,0.0,2%,34%,557.7575503355705,0.033898305
114,2019-01-17,January,2019,RAM,0.993217182,0.0,10%,33%,837.9562013917315,0.02247191
115,2019-01-17,January,2019,RCS PHONES,#DIV/0!,0.0,7%,49%,,0.1
116,2019-01-17,January,2019,RIS,0.930612807,0.0,8%,23%,555.0,0.015873016
117,2019-01-17,January,2019,SCS,#DIV/0!,0.0,6%,36%,,
118,2019-01-17,January,2019,WISE,0.953426946,2.25,4%,23%,528.7484891346278,0.007194245
119,2019-01-18,January,2019,Client Transactions,0.801181235,0.0,3%,37%,334.9145802650957,0.042553191
120,2019-01-18,January,2019,Participant Transactions,0.868159968,0.0,9%,36%,406.1989828353465,0.033898305
121,2019-01-18,January,2019,RAM,0.886848953,0.0,12%,37%,937.0827000447027,0.02247191
122,2019-01-18,January,2019,RCS PHONES,#DIV/0!,0.0,11%,53%,,0.1
123,2019-01-18,January,2019,RIS,0.961129865,2.916666667,14%,33%,554.0,0.015873016
124,2019-01-18,January,2019,SCS,#DIV/0!,0.0,5%,42%,,
125,2019-01-18,January,2019,WISE,0.932027603,0.0,9%,27%,540.2850018245955,0.007194245
140,2019-01-21,January,2019,Client Transactions,0.705802596,0.0,0%,46%,312.5977722772277,0.042553191
141,2019-01-21,January,2019,Participant Transactions,0.898533728,0.0,0%,29%,360.02544407105137,0.033898305
142,2019-01-21,January,2019,RAM,0.76319699,0.0,7%,36%,749.9628997867804,0.02247191
143,2019-01-21,January,2019,RCS PHONES,#DIV/0!,0.0,8%,43%,,0.1
