,date,month,year,bu,Conformance CALC,System Outage (hrs),Unplanned out % CALC,Shrinkage % CALC,aht,Attrition %
828,2019-04-29,April,2019,RAM,0.953977773,0.0,11%,41%,857.760655737705,0.02
829,2019-04-29,April,2019,RCS PHONES,#DIV/0!,0.0,13%,39%,,0.076923077
830,2019-04-29,April,2019,RIS,0.974196764,0.0,5%,29%,558.0,0.017094017
831,2019-04-29,April,2019,SCS,#DIV/0!,0.41666666700000005,11%,31%,,
832,2019-04-29,April,2019,WISE,0.95939876,0.583333333,10%,26%,540.8169206516027,0.006688963000000001
833,2019-04-30,April,2019,Client Transactions,0.828290191,0.0,7%,38%,328.37624140565316,0.042553191
834,2019-04-30,April,2019,Participant Transactions,0.899309829,0.0,8%,35%,558.3668874172185,0.037735849
835,2019-04-30,April,2019,RAM,0.983223772,0.0,6%,35%,1005.9783861671469,0.02
836,2019-04-30,April,2019,RCS PHONES,#DIV/0!,0.0,2%,36%,,0.076923077
837,2019-04-30,April,2019,RIS,0.991310815,0.0,7%,46%,550.0,0.017094017
838,2019-04-30,April,2019,SCS,#DIV/0!,0.0,4%,42%,,
839,2019-04-30,April,2019,WISE,0.931692862,0.5,4%,29%,540.3009300547841,0.006688963000000001
840,2019-05-01,May,2019,Client Transactions,0.842840651,0.0,4%,27%,373.75353621945993,0.045454545
841,2019-05-01,May,2019,Participant Transactions,0.913601191,0.0,2%,32%,529.6955530216648,0.037735849
842,2019-05-01,May,2019,RAM,0.970086929,0.0,4%,35%,1028.1271676300578,0.018181818
843,2019-05-01,May,2019,RCS PHONES,#DIV/0!,0.0,4%,37%,,0.076923077
844,2019-05-01,May,2019,RIS,0.995638554,0.0,10%,49%,561.0,0.017699115
845,2019-05-01,May,2019,SCS,#DIV/0!,0.0,5%,46%,,
846,2019-05-01,May,2019,WISE,0.947486446,0.0,4%,31%,545.1216506662846,0.006493506
847,2019-05-02,May,2019,Client Transactions,0.839993736,0.0,5%,28%,414.9718969555035,0.045454545
848,2019-05-02,May,2019,Participant Transactions,0.895205492,0.0,8%,37%,535.9555555555555,0.037735849
849,2019-05-02,May,2019,RAM,0.9672113,0.0,9%,44%,870.8216902784562,0.018181818
850,2019-05-02,May,2019,RCS PHONES,#DIV/0!,0.0,4%,51%,,0.076923077
851,2019-05-02,May,2019,RIS,0.96612559,0.0,3%,49%,552.0,0.017699115
852,2019-05-02,May,2019,SCS,#DIV/0!,0.0,3%,42%,,
853,2019-05-02,May,2019,WISE,0.954294506,4.633333333,2%,29%,538.156859779156,0.006493506
854,2019-05-03,May,2019,Client Transactions,0.844578238,0.0,8%,29%,309.1969083548031,0.045454545
855,2019-05-03,May,2019,Participant Transactions,0.880345679,0.0,8%,35%,503.6609833465504,0.037735849
856,2019-05-03,May,2019,RAM,0.9234808,0.0,4%,37%,876.374414976599,0.018181818
857,2019-05-03,May,2019,RCS PHONES,#DIV/0!,0.0,12%,48%,,0.076923077
858,2019-05-03,May,2019,RIS,0.983810556,0.0,6%,47%,543.0,0.017699115
859,2019-05-03,May,2019,SCS,#DIV/0!,0.41666666700000005,7%,45%,,
860,2019-05-03,May,2019,WISE,0.954880177,0.833333333,3%,34%,542.9703245749614,0.006493506
875,2019-05-06,May,2019,Client Transactions,0.838932142,0.0,1%,30%,350.2059398202423,0.045454545
876,2019-05-06,May,2019,Participant Transactions,0.863927554,0.0,12%,25%,480.05560433128477,0.037735849
877,2019-05-06,May,2019,RAM,0.959097249,0.0,8%,31%,855.4603421461898,0.018181818
878,2019-05-06,May,2019,RCS PHONES,#DIV/0!,2.75,12%,37%,,0.076923077
879,2019-05-06,May,2019,RIS,0.978958095,2.0,6%,32%,548.0,0.017699115
880,2019-05-06,May,2019,SCS,#DIV/0!,0.5,4%,26%,,
881,2019-05-06,May,2019,WISE,0.949681027,3.666666667,6%,26%,524.3384546871521,0.006493506
882,2019-05-07,May,2019,Client Transactions,0.798133419,0.0,9%,40%,410.3467784180199,0.045454545
883,2019-05-07,May,2019,Participant Transactions,0.886387468,0.0,5%,36%,489.4882747068677,0.037735849
884,2019-05-07,May,2019,RAM,0.929174391,0.0,5%,31%,984.7785714285715,0.018181818
885,2019-05-07,May,2019,RCS PHONES,#DIV/0!,0.0,4%,36%,,0.076923077
886,2019-05-07,May,2019,RIS,0.979654999,0.0,9%,53%,545.0,0.017699115
887,2019-05-07,May,2019,SCS,#DIV/0!,0.75,2%,37%,,
888,2019-05-07,May,2019,WISE,0.952118329,4.75,2%,28%,534.9423885048122,0.006493506
889,2019-05-08,May,2019,Client Transactions,0.83628913,0.0,2%,26%,458.8807915057915,0.045454545
890,2019-05-08,May,2019,Participant Transactions,0.900396825,0.0,11%,36%,488.649638143891,0.037735849
891,2019-05-08,May,2019,RAM,0.937519627,0.0,5%,33%,972.7939209726444,0.018181818
892,2019-05-08,May,2019,RCS PHONES,#DIV/0!,0.0,5%,38%,,0.076923077
893,2019-05-08,May,2019,RIS,0.98854247,0.0,4%,55%,558.0,0.017699115
894,2019-05-08,May,2019,SCS,#DIV/0!,0.0,3%,43%,,
895,2019-05-08,May,2019,WISE,0.952729079,2.55,4%,28%,538.1233272506083,0.006493506
896,2019-05-09,May,2019,Client Transactions,0.74142474,0.0,6%,26%,402.85486284289277,0.045454545
897,2019-05-09,May,2019,Participant Transactions,0.931543176,0.0,11%,34%,566.3479715600167,0.037735849
898,2019-05-09,May,2019,RAM,0.949686252,0.0,3%,28%,990.1054402692092,0.018181818
899,2019-05-09,May,2019,RCS PHONES,#DIV/0!,6.6,0%,46%,,0.076923077
900,2019-05-09,May,2019,RIS,0.953272871,4.083333333,4%,52%,544.0,0.017699115
901,2019-05-09,May,2019,SCS,#DIV/0!,15.33333333,4%,48%,,
902,2019-05-09,May,2019,WISE,0.950099229,0.9833333329999999,4%,28%,536.647517504774,0.006493506
903,2019-05-10,May,2019,Client Transactions,0.852840449,0.0,7%,33%,302.39689978370586,0.045454545
904,2019-05-10,May,2019,Participant Transactions,0.882049784,0.0,5%,33%,551.5723413966225,0.037735849
905,2019-05-10,May,2019,RAM,0.941679815,0.0,10%,40%,997.7953410981697,0.018181818
906,2019-05-10,May,2019,RCS PHONES,#DIV/0!,0.0,5%,41%,,0.076923077
907,2019-05-10,May,2019,RIS,0.992359978,0.0,7%,57%,582.0,0.017699115
908,2019-05-10,May,2019,SCS,#DIV/0!,0.25,5%,51%,,
909,2019-05-10,May,2019,WISE,0.957511664,0.0,6%,35%,540.5462917283342,0.006493506
924,2019-05-13,May,2019,Client Transactions,0.784376502,0.0,5%,26%,326.5697538100821,0.045454545
925,2019-05-13,May,2019,Participant Transactions,0.898379178,0.0,11%,29%,504.63650844217904,0.037735849
926,2019-05-13,May,2019,RAM,0.950516497,0.0,11%,31%,826.8452655889146,0.018181818
927,2019-05-13,May,2019,RCS PHONES,#DIV/0!,0.0,4%,31%,,0.076923077
928,2019-05-13,May,2019,RIS,0.986345715,0.0,9%,37%,545.0,0.017699115
929,2019-05-13,May,2019,SCS,#DIV/0!,0.0,5%,35%,,
930,2019-05-13,May,2019,WISE,0.94375725,1.216666667,9%,27%,536.5573146054041,0.006493506
931,2019-05-14,May,2019,Client Transactions,0.822273366,0.0,0%,29%,375.27813953488373,0.045454545
932,2019-05-14,May,2019,Participant Transactions,0.919545402,0.0,13%,42%,532.8004454342985,0.037735849
933,2019-05-14,May,2019,RAM,0.974632076,0.0,7%,28%,958.0030333670375,0.018181818
934,2019-05-14,May,2019,RCS PHONES,#DIV/0!,0.0,10%,45%,,0.076923077
935,2019-05-14,May,2019,RIS,1.009424665,0.0,6%,54%,554.0,0.017699115
936,2019-05-14,May,2019,SCS,#DIV/0!,0.0,1%,39%,,
937,2019-05-14,May,2019,WISE,0.953446594,0.933333333,5%,29%,519.747190191213,0.006493506
938,2019-05-15,May,2019,Client Transactions,0.819024311,0.0,3%,23%,405.0820724438331,0.045454545
939,2019-05-15,May,2019,Participant Transactions,0.909397351,0.0,8%,41%,554.7513593672763,0.037735849
940,2019-05-15,May,2019,RAM,0.955296194,0.0,4%,34%,989.4379817799579,0.018181818
941,2019-05-15,May,2019,RCS PHONES,#DIV/0!,0.25,0%,45%,,0.076923077
942,2019-05-15,May,2019,RIS,0.941422638,0.75,5%,57%,563.0,0.017699115
943,2019-05-15,May,2019,SCS,#DIV/0!,0.0,5%,46%,,
944,2019-05-15,May,2019,WISE,0.959053395,1.25,4%,36%,530.4500076557954,0.006493506
945,2019-05-16,May,2019,Client Transactions,0.7601736,0.0,1%,20%,382.3093462044757,0.045454545
946,2019-05-16,May,2019,Participant Transactions,0.870127418,0.0,8%,35%,553.6584686774942,0.037735849
947,2019-05-16,May,2019,RAM,0.981704648,0.0,3%,37%,1031.1303208906352,0.018181818
948,2019-05-16,May,2019,RCS PHONES,#DIV/0!,8.5,9%,47%,,0.076923077
949,2019-05-16,May,2019,RIS,0.99680917,5.333333333,4%,60%,559.0,0.017699115
950,2019-05-16,May,2019,SCS,#DIV/0!,11.41666667,2%,49%,,
951,2019-05-16,May,2019,WISE,0.947304727,8.0,7%,38%,546.6317900718703,0.006493506
952,2019-05-17,May,2019,Client Transactions,0.80469402,0.0,0%,24%,337.3727344365642,0.045454545
953,2019-05-17,May,2019,Participant Transactions,0.897538618,0.0,6%,36%,535.7219251336899,0.037735849
954,2019-05-17,May,2019,RAM,0.961178122,0.0,4%,33%,992.3474232773596,0.018181818
955,2019-05-17,May,2019,RCS PHONES,#DIV/0!,0.0,10%,62%,,0.076923077
956,2019-05-17,May,2019,RIS,0.94698601,0.0,7%,59%,565.0,0.017699115
957,2019-05-17,May,2019,SCS,#DIV/0!,0.0,3%,52%,,
958,2019-05-17,May,2019,WISE,0.944774316,0.0,6%,38%,544.0450480850346,0.006493506
973,2019-05-20,May,2019,Client Transactions,0.728456339,0.0,4%,25%,312.83327060594655,0.045454545
974,2019-05-20,May,2019,Participant Transactions,0.931304651,0.0,12%,30%,546.4066985645933,0.037735849
975,2019-05-20,May,2019,RAM,0.970391995,0.0,8%,29%,852.6370192307693,0.018181818
976,2019-05-20,May,2019,RCS PHONES,#DIV/0!,0.0,1%,29%,,0.076923077
977,2019-05-20,May,2019,RIS,0.975825115,0.0,14%,40%,540.0,0.017699115
978,2019-05-20,May,2019,SCS,#DIV/0!,0.0,10%,38%,,
979,2019-05-20,May,2019,WISE,0.952426939,0.0,9%,28%,537.2880314573605,0.006493506
980,2019-05-21,May,2019,Client Transactions,0.714335278,0.0,7%,18%,329.5976381273724,0.045454545
981,2019-05-21,May,2019,Participant Transactions,0.868888245,0.0,8%,35%,517.5930134680135,0.037735849
982,2019-05-21,May,2019,RAM,0.959948932,0.0,3%,32%,1067.7727771679472,0.018181818
983,2019-05-21,May,2019,RCS PHONES,#DIV/0!,0.0,0%,37%,,0.076923077
984,2019-05-21,May,2019,RIS,0.989588378,0.0,8%,53%,539.0,0.017699115
985,2019-05-21,May,2019,SCS,#DIV/0!,0.5,8%,41%,,
986,2019-05-21,May,2019,WISE,0.939458536,0.6166666670000001,12%,37%,526.2288939051919,0.006493506
987,2019-05-22,May,2019,Client Transactions,0.806720301,0.0,0%,25%,412.4820435002529,0.045454545
988,2019-05-22,May,2019,Participant Transactions,0.847053463,0.0,11%,39%,545.1350435624395,0.037735849
989,2019-05-22,May,2019,RAM,0.970827023,0.0,5%,36%,1072.154986522911,0.018181818
990,2019-05-22,May,2019,RCS PHONES,#DIV/0!,0.0,8%,39%,,0.076923077
991,2019-05-22,May,2019,RIS,0.996097647,0.0,3%,50%,556.0,0.017699115
992,2019-05-22,May,2019,SCS,#DIV/0!,0.0,4%,45%,,
993,2019-05-22,May,2019,WISE,0.958334783,0.46666666700000003,4%,37%,531.476720165263,0.006493506
994,2019-05-23,May,2019,Client Transactions,0.753324811,0.0,4%,26%,408.81246931762394,0.045454545
995,2019-05-23,May,2019,Participant Transactions,0.890723423,0.0,10%,35%,584.0775451950524,0.037735849
996,2019-05-23,May,2019,RAM,0.96096798,0.0,3%,31%,952.9596510359869,0.018181818
997,2019-05-23,May,2019,RCS PHONES,#DIV/0!,0.0,4%,58%,,0.076923077
998,2019-05-23,May,2019,RIS,0.966038638,0.75,4%,41%,521.0,0.017699115
999,2019-05-23,May,2019,SCS,#DIV/0!,0.0,4%,44%,,
1000,2019-05-23,May,2019,WISE,0.955210452,0.0,3%,39%,537.6636070032297,0.006493506
1001,2019-05-24,May,2019,Client Transactions,0.750268464,0.0,2%,30%,260.476208317722,0.045454545
1002,2019-05-24,May,2019,Participant Transactions,0.915783292,0.0,8%,39%,493.76806258628625,0.037735849
1003,2019-05-24,May,2019,RAM,0.97278808,0.0,7%,41%,1039.4744985673353,0.018181818
1004,2019-05-24,May,2019,RCS PHONES,#DIV/0!,0.0,11%,59%,,0.076923077
1005,2019-05-24,May,2019,RIS,0.967797309,0.0,10%,56%,536.0,0.017699115
1006,2019-05-24,May,2019,SCS,#DIV/0!,0.0,4%,49%,,
1007,2019-05-24,May,2019,WISE,0.935988597,0.5,10%,43%,554.1937903366475,0.006493506
1022,2019-05-27,May,2019,Client Transactions,#DIV/0!,0.0,0%,100%,0.0,0.045454545
1023,2019-05-27,May,2019,Participant Transactions,#DIV/0!,0.0,#DIV/0!,#DIV/0!,0.0,0.037735849
1024,2019-05-27,May,2019,RAM,#DIV/0!,0.0,#DIV/0!,#DIV/0!,0.0,0.018181818
1025,2019-05-27,May,2019,RCS PHONES,#DIV/0!,0.0,#DIV/0!,#DIV/0!,,0.076923077
1026,2019-05-27,May,2019,RIS,#DIV/0!,0.0,#DIV/0!,#DIV/0!,,0.017699115
1027,2019-05-27,May,2019,SCS,#DIV/0!,0.0,#DIV/0!,#DIV/0!,,
1028,2019-05-27,May,2019,WISE,#DIV/0!,0.0,#DIV/0!,#DIV/0!,,0.006493506
1029,2019-05-28,May,2019,Client Transactions,0.752219558,0.0,2%,24%,298.579945799458,0.045454545
1030,2019-05-28,May,2019,Participant Transactions,0.990158443,0.0,7%,39%,576.9367972082202,0.037735849
1031,2019-05-28,May,2019,RAM,0.956526087,0.0,5%,28%,898.5285198555956,0.018181818
1032,2019-05-28,May,2019,RCS PHONES,#DIV/0!,0.0,5%,36%,,0.076923077
1033,2019-05-28,May,2019,RIS,0.97643471,0.0,5%,28%,568.0,0.017699115
1034,2019-05-28,May,2019,SCS,#DIV/0!,0.0,2%,37%,,
1035,2019-05-28,May,2019,WISE,0.940100031,4.366666667,11%,37%,547.4597741707834,0.006493506
1036,2019-05-29,May,2019,Client Transactions,0.735242526,0.0,3%,31%,313.0409356725146,0.045454545
1037,2019-05-29,May,2019,Participant Transactions,0.859636326,0.0,7%,38%,491.0947930574099,0.037735849
1038,2019-05-29,May,2019,RAM,0.989593254,0.0,6%,35%,943.2626208378088,0.018181818
1039,2019-05-29,May,2019,RCS PHONES,#DIV/0!,0.0,0%,43%,,0.076923077
1040,2019-05-29,May,2019,RIS,0.97069197,0.0,3%,46%,568.0,0.017699115
1041,2019-05-29,May,2019,SCS,#DIV/0!,0.0,5%,42%,,
1042,2019-05-29,May,2019,WISE,0.962371461,0.75,5%,36%,532.4658220799109,0.006493506
1043,2019-05-30,May,2019,Client Transactions,0.773769879,0.0,0%,27%,355.3812033377251,0.045454545
1044,2019-05-30,May,2019,Participant Transactions,0.823729155,0.0,6%,34%,621.430563002681,0.037735849
1045,2019-05-30,May,2019,RAM,0.996641929,0.0,3%,30%,844.5441081777205,0.018181818
1046,2019-05-30,May,2019,RCS PHONES,#DIV/0!,0.0,1%,51%,,0.076923077
1047,2019-05-30,May,2019,RIS,0.978472514,0.0,4%,47%,554.0,0.017699115
1048,2019-05-30,May,2019,SCS,#DIV/0!,0.0,4%,45%,,
1049,2019-05-30,May,2019,WISE,0.981766511,1.7,4%,31%,541.3144065237088,0.006493506
1050,2019-05-31,May,2019,Client Transactions,0.740465253,0.0,3%,36%,245.97194663017447,0.045454545
1051,2019-05-31,May,2019,Participant Transactions,0.877945451,0.0,13%,43%,499.9348970799426,0.037735849
1052,2019-05-31,May,2019,RAM,0.979444906,0.0,2%,33%,1022.7523809523809,0.018181818
1053,2019-05-31,May,2019,RCS PHONES,#DIV/0!,0.3,0%,51%,,0.076923077
1054,2019-05-31,May,2019,RIS,0.971520243,0.65,4%,48%,591.0,0.017699115
1055,2019-05-31,May,2019,SCS,#DIV/0!,0.433333333,8%,51%,,
1056,2019-05-31,May,2019,WISE,0.963721129,1.3833333330000002,3%,31%,540.6365930599369,0.006493506
1071,2019-06-03,June,2019,Client Transactions,0.857715778,0.0,2%,26%,314.8847272727273,0.046511628
1072,2019-06-03,June,2019,Participant Transactions,0.931771648,0.0,5%,22%,553.264262295082,0.036363636
1073,2019-06-03,June,2019,RAM,0.961118033,0.0,9%,44%,920.6588586030664,0.022222222000000003
1074,2019-06-03,June,2019,RCS PHONES,#DIV/0!,0.0,5%,44%,,0.105263158
1075,2019-06-03,June,2019,RIS,0.982841547,3.166666667,12%,29%,581.0,0.019047619
1076,2019-06-03,June,2019,SCS,#DIV/0!,0.0,6%,30%,,
1077,2019-06-03,June,2019,WISE,0.929436914,1.0,5%,23%,523.2888472558959,0.006535948000000001
1078,2019-06-04,June,2019,Client Transactions,0.89084122,0.0,1%,34%,338.1882556131261,0.046511628
1079,2019-06-04,June,2019,Participant Transactions,0.866717285,0.0,4%,31%,510.4555827220864,0.036363636
1080,2019-06-04,June,2019,RAM,0.990995891,0.0,7%,41%,1013.8333333333334,0.022222222000000003
1081,2019-06-04,June,2019,RCS PHONES,#DIV/0!,0.0,7%,52%,,0.105263158
1082,2019-06-04,June,2019,RIS,0.984781211,0.25,4%,45%,604.0,0.019047619
1083,2019-06-04,June,2019,SCS,#DIV/0!,0.0,4%,41%,,
1084,2019-06-04,June,2019,WISE,0.955263863,0.0,6%,30%,540.9401897428846,0.006535948000000001
1085,2019-06-05,June,2019,Client Transactions,0.814946366,0.0,1%,21%,419.5436274509804,0.046511628
1086,2019-06-05,June,2019,Participant Transactions,0.889758273,0.0,0%,29%,572.7155756207675,0.036363636
1087,2019-06-05,June,2019,RAM,0.963887718,0.0,3%,37%,944.3655507559396,0.022222222000000003
1088,2019-06-05,June,2019,RCS PHONES,#DIV/0!,0.0,5%,47%,,0.105263158
1089,2019-06-05,June,2019,RIS,0.98904158,0.0,7%,46%,600.0,0.019047619
1090,2019-06-05,June,2019,SCS,#DIV/0!,0.0,3%,39%,,
1091,2019-06-05,June,2019,WISE,0.959499109,0.0,5%,33%,550.6850050805632,0.006535948000000001
1092,2019-06-06,June,2019,Client Transactions,0.847859129,0.0,0%,23%,465.97232570516235,0.046511628
1093,2019-06-06,June,2019,Participant Transactions,0.881045135,0.0,6%,31%,536.3476357267951,0.036363636
1094,2019-06-06,June,2019,RAM,0.928167514,0.0,2%,40%,1112.750756200847,0.022222222000000003
1095,2019-06-06,June,2019,RCS PHONES,#DIV/0!,0.0,3%,41%,,0.105263158
1096,2019-06-06,June,2019,RIS,0.973732539,0.0,4%,46%,590.0,0.019047619
1097,2019-06-06,June,2019,SCS,#DIV/0!,0.0,5%,43%,,
1098,2019-06-06,June,2019,WISE,0.946087,0.0,5%,32%,539.9041074737493,0.006535948000000001
1099,2019-06-07,June,2019,Client Transactions,0.844293594,0.0,2%,30%,370.83123877917416,0.046511628
1100,2019-06-07,June,2019,Participant Transactions,0.849883782,0.0,3%,29%,578.2828666350262,0.036363636
1101,2019-06-07,June,2019,RAM,0.959876035,0.0,3%,39%,1108.0293757649938,0.022222222000000003
1102,2019-06-07,June,2019,RCS PHONES,#DIV/0!,0.0,5%,48%,,0.105263158
1103,2019-06-07,June,2019,RIS,0.987884708,0.533333333,3%,49%,578.0,0.019047619
1104,2019-06-07,June,2019,SCS,#DIV/0!,0.0,8%,44%,,
1105,2019-06-07,June,2019,WISE,0.945480143,0.0,6%,31%,546.337343892781,0.006535948000000001
1120,2019-06-10,June,2019,Client Transactions,0.887687923,0.0,3%,34%,285.73777616805506,0.046511628
1121,2019-06-10,June,2019,Participant Transactions,0.873049694,0.0,13%,29%,470.0759410801964,0.036363636
1122,2019-06-10,June,2019,RAM,0.989087512,0.0,7%,32%,927.220251293422,0.022222222000000003
1123,2019-06-10,June,2019,RCS PHONES,#DIV/0!,0.0,0%,33%,,0.105263158
1124,2019-06-10,June,2019,RIS,0.982426996,0.0,6%,40%,606.0,0.019047619
1125,2019-06-10,June,2019,SCS,#DIV/0!,0.0,12%,34%,,
1126,2019-06-10,June,2019,WISE,0.962261779,2.0,9%,26%,548.9285875961974,0.006535948000000001
1127,2019-06-11,June,2019,Client Transactions,0.901303357,0.0,0%,34%,350.0223586146427,0.046511628
1128,2019-06-11,June,2019,Participant Transactions,0.881653138,0.0,8%,31%,427.82500885582715,0.036363636
1129,2019-06-11,June,2019,RAM,0.964446847,0.0,9%,42%,1137.942784488239,0.022222222000000003
1130,2019-06-11,June,2019,RCS PHONES,#DIV/0!,0.0,6%,31%,,0.105263158
1131,2019-06-11,June,2019,RIS,0.978359728,0.0,4%,35%,605.0,0.019047619
1132,2019-06-11,June,2019,SCS,#DIV/0!,0.25,4%,39%,,
1133,2019-06-11,June,2019,WISE,0.969360283,0.0,7%,29%,546.1531668276529,0.006535948000000001
1134,2019-06-12,June,2019,Client Transactions,0.860865844,0.0,1%,29%,436.16675461741426,0.046511628
1135,2019-06-12,June,2019,Participant Transactions,0.86835027,0.0,6%,32%,501.52790409260024,0.036363636
1136,2019-06-12,June,2019,RAM,0.966882754,0.0,6%,38%,1001.0798519301957,0.022222222000000003
1137,2019-06-12,June,2019,RCS PHONES,#DIV/0!,1.0,3%,39%,,0.105263158
1138,2019-06-12,June,2019,RIS,0.989044206,0.0,2%,41%,601.0,0.019047619
1139,2019-06-12,June,2019,SCS,#DIV/0!,0.0,5%,46%,,
1140,2019-06-12,June,2019,WISE,0.954931419,1.5,6%,31%,529.0702710254261,0.006535948000000001
1141,2019-06-13,June,2019,Client Transactions,0.843121754,0.0,1%,18%,462.5712195121951,0.046511628
1142,2019-06-13,June,2019,Participant Transactions,0.823847915,0.0,9%,39%,525.3879981676591,0.036363636
1143,2019-06-13,June,2019,RAM,0.986755287,0.0,6%,37%,1052.787063537493,0.022222222000000003
1144,2019-06-13,June,2019,RCS PHONES,#DIV/0!,0.0,5%,43%,,0.105263158
1145,2019-06-13,June,2019,RIS,0.985910404,1.0,2%,37%,579.0,0.019047619
1146,2019-06-13,June,2019,SCS,#DIV/0!,0.0,6%,46%,,
1147,2019-06-13,June,2019,WISE,0.955664975,0.933333333,4%,30%,536.3785513581017,0.006535948000000001
1148,2019-06-14,June,2019,Client Transactions,0.835800229,0.0,1%,24%,311.2130028735632,0.046511628
1149,2019-06-14,June,2019,Participant Transactions,0.898540401,0.0,8%,39%,461.61858585858585,0.036363636
1150,2019-06-14,June,2019,RAM,0.960251378,0.0,8%,46%,962.7820289855073,0.022222222000000003
1151,2019-06-14,June,2019,RCS PHONES,#DIV/0!,0.0,6%,48%,,0.105263158
1152,2019-06-14,June,2019,RIS,1.0101,0.783333333,5%,45%,590.0,0.019047619
1153,2019-06-14,June,2019,SCS,#DIV/0!,0.75,9%,51%,,
1154,2019-06-14,June,2019,WISE,0.947189795,0.0,7%,36%,547.4509803921569,0.006535948000000001
1169,2019-06-17,June,2019,Client Transactions,0.87362073,0.0,5%,33%,282.0937610151569,0.046511628
1170,2019-06-17,June,2019,Participant Transactions,0.910030434,7.0,7%,29%,556.7247670807453,0.036363636
1171,2019-06-17,June,2019,RAM,0.993610842,0.0,11%,39%,946.951367781155,0.022222222000000003
1172,2019-06-17,June,2019,RCS PHONES,#DIV/0!,1.083333333,12%,40%,,0.105263158
1173,2019-06-17,June,2019,RIS,0.999017549,0.0,5%,26%,593.0,0.019047619
1174,2019-06-17,June,2019,SCS,#DIV/0!,2.75,7%,36%,,
1175,2019-06-17,June,2019,WISE,0.948242046,0.583333333,8%,27%,543.2236636636636,0.006535948000000001
1176,2019-06-18,June,2019,Client Transactions,0.855604782,0.0,6%,33%,314.82125603864733,0.046511628
1177,2019-06-18,June,2019,Participant Transactions,0.899259259,0.0,7%,33%,553.433789954338,0.036363636
1178,2019-06-18,June,2019,RAM,0.94877969,0.0,3%,35%,978.4016649323621,0.022222222000000003
1179,2019-06-18,June,2019,RCS PHONES,#DIV/0!,1.75,3%,42%,,0.105263158
1180,2019-06-18,June,2019,RIS,0.995660819,0.0,3%,37%,574.0,0.019047619
1181,2019-06-18,June,2019,SCS,#DIV/0!,0.0,1%,42%,,
1182,2019-06-18,June,2019,WISE,0.958812858,0.0,5%,31%,551.7523757806136,0.006535948000000001
1183,2019-06-19,June,2019,Client Transactions,0.876110401,0.0,5%,26%,393.86097228532486,0.046511628
1184,2019-06-19,June,2019,Participant Transactions,0.869239859,0.0,6%,32%,533.8346116970278,0.036363636
1185,2019-06-19,June,2019,RAM,0.98164618,0.0,1%,33%,1044.57310628303,0.022222222000000003
1186,2019-06-19,June,2019,RCS PHONES,#DIV/0!,0.0,3%,44%,,0.105263158
1187,2019-06-19,June,2019,RIS,0.970415087,0.0,3%,35%,593.0,0.019047619
1188,2019-06-19,June,2019,SCS,#DIV/0!,0.0,2%,40%,,
1189,2019-06-19,June,2019,WISE,0.944852953,0.0,5%,30%,541.6994904076738,0.006535948000000001
1190,2019-06-20,June,2019,Client Transactions,0.877065545,0.0,5%,24%,404.90122914837576,0.046511628
1191,2019-06-20,June,2019,Participant Transactions,0.835956838,0.0,9%,34%,505.0574548907882,0.036363636
1192,2019-06-20,June,2019,RAM,0.974130675,0.0,4%,30%,1197.4095622119817,0.022222222000000003
1193,2019-06-20,June,2019,RCS PHONES,#DIV/0!,1.25,9%,61%,,0.105263158
1194,2019-06-20,June,2019,RIS,0.977549873,0.0,4%,43%,592.0,0.019047619
1195,2019-06-20,June,2019,SCS,#DIV/0!,2.0,3%,40%,,
1196,2019-06-20,June,2019,WISE,0.929351741,0.0,4%,33%,552.7293278713397,0.006535948000000001
1197,2019-06-21,June,2019,Client Transactions,0.884445852,0.0,2%,25%,326.12611275964395,0.046511628
1198,2019-06-21,June,2019,Participant Transactions,0.888727984,0.0,4%,37%,492.58912655971477,0.036363636
1199,2019-06-21,June,2019,RAM,0.970076536,0.0,9%,36%,1124.1522781774581,0.022222222000000003
1200,2019-06-21,June,2019,RCS PHONES,#DIV/0!,0.0,6%,52%,,0.105263158
1201,2019-06-21,June,2019,RIS,0.953992844,0.333333333,7%,44%,600.0,0.019047619
1202,2019-06-21,June,2019,SCS,#DIV/0!,0.0,10%,45%,,
1203,2019-06-21,June,2019,WISE,0.943488467,0.333333333,9%,35%,564.1048636926889,0.006535948000000001
1218,2019-06-24,June,2019,Client Transactions,0.911974155,0.0,10%,32%,276.121935272965,0.046511628
1219,2019-06-24,June,2019,Participant Transactions,0.929337791,0.0,7%,31%,517.6073895027624,0.036363636
1220,2019-06-24,June,2019,RAM,0.958063922,0.0,10%,29%,1084.1519302615193,0.022222222000000003
1221,2019-06-24,June,2019,RCS PHONES,#DIV/0!,0.0,3%,36%,,0.105263158
1222,2019-06-24,June,2019,RIS,0.976918137,0.0,5%,36%,598.0,0.019047619
1223,2019-06-24,June,2019,SCS,#DIV/0!,3.433333333,8%,33%,,
1224,2019-06-24,June,2019,WISE,0.950221898,0.0,7%,27%,543.9349215572341,0.006535948000000001
1225,2019-06-25,June,2019,Client Transactions,0.831901051,0.0,3%,36%,304.3868365180467,0.046511628
1226,2019-06-25,June,2019,Participant Transactions,0.904468371,0.0,2%,33%,506.84792219274976,0.036363636
1227,2019-06-25,June,2019,RAM,0.968493795,0.0,9%,30%,1135.9416488222698,0.022222222000000003
1228,2019-06-25,June,2019,RCS PHONES,#DIV/0!,0.0,0%,36%,,0.105263158
