BUSINESS UNIT,last date of month,attrition,filled position,Attrition %,month,year
RAM,5/31/2020,2,90,0.022222222,May,2020
RCS PHONES,5/31/2020,2,20,0.1,May,2020
RIS,5/31/2020,2,121,0.016528926,May,2020
SCS,5/31/2020,2,0,#DIV/0!,May,2020
WISE,5/31/2020,2,267,0.007490637,May,2020
Client Transactions,6/30/2020,2,41,0.048780488,June,2020
Participant Transactions,6/30/2020,2,59,0.033898305,June,2020
RAM,6/30/2020,2,90,0.022222222,June,2020
RCS PHONES,6/30/2020,2,20,0.1,June,2020
RIS,6/30/2020,2,117,0.017094017,June,2020
SCS,6/30/2020,2,0,#DIV/0!,June,2020
WISE,6/30/2020,2,262,0.007633588,June,2020
Client Transactions,7/31/2020,2,42,0.047619048,July,2020
Participant Transactions,7/31/2020,2,71,0.028169014,July,2020
RAM,7/31/2020,2,89,0.02247191,July,2020
RCS PHONES,7/31/2020,2,20,0.1,July,2020
RIS,7/31/2020,2,112,0.017857143,July,2020
SCS,7/31/2020,2,0,#DIV/0!,July,2020
WISE,7/31/2020,2,248,0.008064516,July,2020
Client Transactions,8/31/2020,2,41,0.048780488,August,2020
Participant Transactions,8/31/2020,2,68,0.029411765,August,2020
RAM,8/31/2020,2,88,0.022727273,August,2020
RCS PHONES,8/31/2020,2,21,0.095238095,August,2020
RIS,8/31/2020,2,100,0.02,August,2020
SCS,8/31/2020,2,0,#DIV/0!,August,2020
WISE,8/31/2020,2,266,0.007518797,August,2020
Client Transactions,9/30/2020,2,41,0.048780488,September,2020
Participant Transactions,9/30/2020,2,67,0.029850746,September,2020
RAM,9/30/2020,2,103,0.019417476,September,2020
RCS PHONES,9/30/2020,2,22,0.090909091,September,2020
RIS,9/30/2020,2,94,0.021276596,September,2020
SCS,9/30/2020,2,0,#DIV/0!,September,2020
WISE,9/30/2020,2,283,0.007067138,September,2020
Client Transactions,10/31/2020,2,42,0.047619048,October,2020
Participant Transactions,10/31/2020,2,63,0.031746032,October,2020
RAM,10/31/2020,2,100,0.02,October,2020
RCS PHONES,10/31/2020,2,21,0.095238095,October,2020
RIS,10/31/2020,2,87,0.022988506,October,2020
SCS,10/31/2020,2,0,#DIV/0!,October,2020
WISE,10/31/2020,2,279,0.007168459,October,2020
Client Transactions,11/30/2020,2,43,0.046511628,November,2020
Participant Transactions,11/30/2020,2,61,0.032786885,November,2020
RAM,11/30/2020,2,98,0.020408163,November,2020
RCS PHONES,11/30/2020,2,22,0.090909091,November,2020
RIS,11/30/2020,2,79,0.025316456,November,2020
SCS,11/30/2020,2,0,#DIV/0!,November,2020
WISE,11/30/2020,2,283,0.007067138,November,2020
Client Transactions,12/7/2020,2,0,#DIV/0!,December,2020
Participant Transactions,12/7/2020,2,0,#DIV/0!,December,2020
RAM,12/7/2020,2,0,#DIV/0!,December,2020
RCS PHONES,12/7/2020,2,0,#DIV/0!,December,2020
RIS,12/7/2020,2,0,#DIV/0!,December,2020
SCS,12/7/2020,2,0,#DIV/0!,December,2020
WISE,12/7/2020,2,0,#DIV/0!,December,2020
