,old,prophet,kpi,start_train,end_train,end_test
CS-Nat,9472.0,6349.783906378147,handle_time,2016-11-01,2020-11-01,
CS-Nat,11118.5,3633.99630670184,handle_time,2016-11-01,2020-12-01,2020-12-07
