,old,prophet,kpi,start_train,end_train,end_test
CS-Joh,20252.875,74205.0494642953,handle_time,2019-12-01,2020-12-01,
CS-Joh,17810.6,43606.76905542766,handle_time,2019-12-01,2020-12-04,2020-12-13
