,old,prophet,kpi,start_train,end_train,end_test
CS-Joh,29.75688976275006,27.827866783632608,aht,2017-01-01,2020-06-01,
CS-Joh,16.670621671025415,26.902556948345534,aht,2019-12-01,2020-12-01,2020-12-07
