,old,prophet,kpi,start_train,end_train,end_test
WISE-C,338553.0,308287.1958714787,handle_time,2016-11-01,2020-12-01,
WISE-C,475344.2,251570.95928539298,handle_time,2016-11-01,2020-12-04,2020-12-13
