,old,prophet,kpi,start_train,end_train,end_test
CS-Nat,50.10845834921215,32.193603866359034,aht,2016-11-01,2020-11-01,
CS-Nat,59.08083810576887,31.59380839694362,aht,2016-11-01,2020-11-01,2020-12-07
