,old,prophet,kpi,start_train,end_train
CS-Mar,22951.642857142866,15619.191911023254,handle_time,2018-11-01,2020-11-01
CS-Mar,22855.125,13786.678235772062,handle_time,2016-11-01,2020-11-01
