,old,prophet,kpi,start_train,end_train,end_test
BRO_ah,34.913854303778294,18.763250334560553,aht,2019-11-01,2020-11-22,
BRO_ah,25.869127393562195,15.58867497825537,aht,2018-11-01,2020-12-01,2020-12-07
