,old,prophet,kpi,start_train,end_train,end_test
CS-Nat,19.0,8.730378686052262,volume,2019-11-01,2020-11-22,
CS-Nat,28.25,7.060811771587225,volume,2016-11-01,2020-12-01,2020-12-07
