,old,prophet,kpi,start_train,end_train,end_test
BRO-Co,69.97859299314831,68.79436903938641,aht,2018-10-01,2020-12-01,
BRO-Co,99.96079165008898,52.77526255068089,aht,2018-10-01,2020-12-04,2020-12-13
