,old,prophet,kpi,start_train,end_train,end_test
BRO_ah,32495.0,13168.61219007522,handle_time,2018-11-01,2020-12-01,
BRO_ah,35353.4,12555.028775835188,handle_time,2018-11-01,2020-12-04,2020-12-13
