,old,prophet,kpi,start_train,end_train
CS-Joh,19263.483606557376,20963.02036094795,handle_time,2017-01-01,2020-06-01
CS-Joh,7203.0,1528.4817707524635,handle_time,2019-11-01,2020-11-22
