,old,prophet,kpi,start_train,end_train
BRO-Co,22963.071428571428,18924.81188136504,handle_time,2018-11-01,2020-11-01
BRO-Co,17326.333333333332,13187.170242906233,handle_time,2018-10-01,2020-10-01
