,old,prophet,kpi,start_train,end_train,end_test
RCS-PH,37.06410256410256,34.941586492719864,volume,2018-08-01,2020-08-01,
RCS-PH,51.25,26.538318518847163,volume,2018-11-01,2020-12-01,2020-12-07
