,old,prophet,kpi,start_train,end_train,end_test
CS-Joh,20.95488348181966,10.653208476347816,aht,2019-12-01,2020-12-13,
CS-Joh,25.607001112186857,9.21467527302732,aht,2019-12-01,2020-12-20,2020-12-28
