,old,prophet,kpi,start_train,end_train,end_test
CS-Nat,104.35077771420588,48.76444339049107,aht,2016-11-01,2020-12-01,
CS-Nat,29.57569787570977,25.13499698795125,aht,2016-11-01,2020-12-13,2020-12-28
