,old,prophet,kpi,start_train,end_train,end_test
WISE-C,44.90727897962925,31.709680688781205,aht,2016-11-01,2020-12-01,
WISE-C,37.329177915981404,9.156925542354884,aht,2016-11-01,2020-12-04,2020-12-13
