,old,prophet,kpi,start_train,end_train,end_test
BRO-Co,19.8,25.67861332200448,volume,2018-10-01,2020-12-04,
BRO-Co,19.8,25.678613322004473,volume,2018-10-01,2020-12-04,2020-12-13
