,old,prophet,kpi,start_train,end_train,end_test
WISE-C,499.125,592.3718294701582,volume,2016-11-01,2020-12-01,
WISE-C,358.2,349.54514413157267,volume,2016-11-01,2020-12-04,2020-12-13
