,old,prophet,kpi,start_train,end_train,end_test
CS-Mar,50.615609540237294,19.866382006027983,aht,2017-11-01,2020-12-01,
CS-Mar,41.74955538657829,13.410963818230517,aht,2017-11-01,2020-12-04,2020-12-13
