,old,prophet,kpi,start_train,end_train,end_test
CS-Joh,29.14041663846583,24.979869446295424,aht,2019-12-01,2020-12-04,
CS-Joh,20.95488348181966,10.653208476347817,aht,2019-12-01,2020-12-13,2020-12-28
