,old,prophet,kpi,start_train,end_train,end_test
BRO-Co,25.0,21.704784727328033,volume,2018-10-01,2020-10-01,
BRO-Co,23.5,16.680325808126653,volume,2018-10-01,2020-12-01,2020-12-07
