,old,prophet,kpi,start_train,end_train,end_test
RCS-PH,22891.5,25941.95268728522,handle_time,2018-11-01,2020-11-01,
RCS-PH,47530.5,8975.816449836377,handle_time,2018-11-01,2020-12-01,2020-12-07
