,old,prophet,kpi,start_train,end_train,end_test
BRO-Co,99.96079165008898,52.77526255068089,aht,2018-10-01,2020-12-04,
BRO-Co,77.29228727667471,41.54718568723981,aht,2018-10-01,2020-12-20,2020-12-28
