,old,prophet,kpi,start_train,end_train,end_test
BRO-Co,21.375,26.1819476983912,volume,2018-10-01,2020-12-01,
BRO-Co,19.8,25.678613322004473,volume,2018-10-01,2020-12-04,2020-12-13
