,old,prophet,kpi,start_train,end_train,end_test
CS-Ala,4.0,10.552499933139382,volume,2019-11-01,2020-11-22,
CS-Ala,6.25,3.3633250726007216,volume,2016-01-01,2020-12-01,2020-12-07
