,old,prophet,kpi,start_train,end_train
CS-Ala,5689.7857142857165,3825.260409057993,handle_time,2018-11-01,2020-11-01
CS-Ala,5296.875,2925.5126779024044,handle_time,2019-11-01,2020-11-01
