,old,prophet,kpi,start_train,end_train,end_test
BRO-Co,20782.25,23638.675994025947,handle_time,2018-10-01,2020-12-01,
BRO-Co,22645.6,12824.051243521968,handle_time,2018-10-01,2020-12-04,2020-12-13
