bu,old,prophet,kpi,start_train,end_train,diff
CS-Nat,29.575697875709768,22.19268645290709,aht,2019-11-01,2020-12-13,7.383011422802678
CS-Mar,22.10589161832553,12.95556626124336,aht,2017-11-01,2020-12-20,9.150325357082169
CS-Joh,25.607001112186857,9.21467527302732,aht,2019-12-01,2020-12-20,16.39232583915954
WISE-C,37.329177915981404,9.156925542354882,aht,2016-11-01,2020-12-04,28.17225237362652
BRO_ah,50.1750342311441,17.030055480089935,aht,2018-11-01,2020-12-20,33.14497875105417
BRO-Co,77.2922872766747,41.54718568723981,aht,2018-10-01,2020-12-20,35.74510158943489
CS-Ala,75.01075473609566,31.92142713065325,aht,2016-01-01,2020-12-13,43.08932760544241
PSG_ah,89.21330924668437,45.92051198232994,aht,2019-11-01,2020-12-04,43.292797264354434
RIS_ah,130.38884694417447,36.43179772214421,aht,2019-11-01,2020-12-01,93.95704922203026
CS-Ala,7169.0,2799.627294379426,handle_time,2016-01-01,2020-12-01,4369.3727056205735
CS-Nat,15103.75,6595.163424724529,handle_time,2016-11-01,2020-12-01,8508.58657527547
BRO-Co,22645.6,12824.051243521968,handle_time,2018-10-01,2020-12-04,9821.54875647803
BRO_ah,35353.4,12555.028775835188,handle_time,2018-11-01,2020-12-04,22798.371224164814
RCS-PH,60709.75,23331.35833916033,handle_time,2018-11-01,2020-12-01,37378.39166083967
WISE-C,475344.2,251570.95928539298,handle_time,2016-11-01,2020-12-04,223773.24071460703
PSG_ah,279187.0,25004.863611435147,handle_time,2019-11-01,2020-12-04,254182.13638856486
RIS_ah,402731.875,55038.59207270556,handle_time,2019-11-01,2020-12-01,347693.28292729444
CS-Ala,7.5,3.296963977567608,volume,2016-01-01,2020-12-01,4.203036022432392
WISE-C,358.2,349.5451441315727,volume,2016-11-01,2020-12-04,8.654855868427262
CS-Nat,23.875,8.819848412295643,volume,2016-11-01,2020-12-01,15.055151587704357
RCS-PH,75.0,52.09651117375616,volume,2018-11-01,2020-12-01,22.903488826243837
RIS_ah,175.0,143.0493911264339,volume,2019-11-01,2020-12-01,31.950608873566097
BRO_ah,66.4,23.369721041941208,volume,2018-11-01,2020-12-04,43.0302789580588
PSG_ah,188.0,96.0605355346164,volume,2019-11-01,2020-12-01,91.9394644653836
