ACTIVITY DATE,DIVISION,BUSINESS UNIT,BUSINESS LINE,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST,
6/16/2016,II Services and Operations,SCS,PSG,391591,,570,775,
6/17/2016,WISE,WISE,WISE Contractual,2944941,,4591,5511,
6/17/2016,College Savings,College Savings,CS Alaska,12590,,23,34,
6/17/2016,College Savings,College Savings,CS John Hancock,156425,,287,302,
6/17/2016,College Savings,College Savings,CS Maryland,101178,,202,194,
6/17/2016,College Savings,College Savings,CS National,60856,,99,109,
6/17/2016,II Services and Operations,RIS,RIS,1080963,,2003,2277,
6/17/2016,II Services and Operations,RCS PHONES,RCS PHONES,262687,,456,421,
6/17/2016,II Services and Operations,SCS,BRO,194274,,330,362,
6/17/2016,II Services and Operations,SCS,PSG,442152,,601,749,
6/18/2016,WISE,WISE,WISE Contractual,0,,0,0,
6/18/2016,College Savings,College Savings,CS Alaska,0,,0,0,
6/18/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
6/18/2016,College Savings,College Savings,CS Maryland,0,,0,0,
6/18/2016,College Savings,College Savings,CS National,0,,0,0,
6/18/2016,II Services and Operations,RIS,RIS,193122,,429,559,
6/18/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
6/18/2016,II Services and Operations,SCS,BRO,0,,0,0,
6/18/2016,II Services and Operations,SCS,PSG,0,,0,0,
6/19/2016,WISE,WISE,WISE Contractual,0,,0,0,
6/19/2016,College Savings,College Savings,CS Alaska,0,,0,0,
6/19/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
6/19/2016,College Savings,College Savings,CS Maryland,0,,0,0,
6/19/2016,College Savings,College Savings,CS National,0,,0,0,
6/19/2016,II Services and Operations,RIS,RIS,0,,0,0,
6/19/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
6/19/2016,II Services and Operations,SCS,BRO,0,,0,0,
6/19/2016,II Services and Operations,SCS,PSG,0,,0,0,
6/20/2016,WISE,WISE,WISE Contractual,4173339,,6659,7688,
6/20/2016,College Savings,College Savings,CS Alaska,21596,,37,47,
6/20/2016,College Savings,College Savings,CS John Hancock,207287,,400,435,
6/20/2016,College Savings,College Savings,CS Maryland,160884,,309,270,
6/20/2016,College Savings,College Savings,CS National,74986,,132,156,
6/20/2016,II Services and Operations,RIS,RIS,1638077,,3113,2924,
6/20/2016,II Services and Operations,RCS PHONES,RCS PHONES,386103,,692,623,
6/20/2016,II Services and Operations,SCS,BRO,260991,,414,511,
6/20/2016,II Services and Operations,SCS,PSG,547399,,828,1109,
6/21/2016,WISE,WISE,WISE Contractual,3639440,,5887,6441,
6/21/2016,College Savings,College Savings,CS Alaska,25870,,41,40,
6/21/2016,College Savings,College Savings,CS John Hancock,194596,,414,368,
6/21/2016,College Savings,College Savings,CS Maryland,114191,,210,228,
6/21/2016,College Savings,College Savings,CS National,61785,,116,132,
6/21/2016,II Services and Operations,RIS,RIS,1411428,,2579,2642,
6/21/2016,II Services and Operations,RCS PHONES,RCS PHONES,342212,,607,536,
6/21/2016,II Services and Operations,SCS,BRO,198425,,360,498,
6/21/2016,II Services and Operations,SCS,PSG,488689,,672,1013,
6/22/2016,WISE,WISE,WISE Contractual,3262571,,5351,5751,
6/22/2016,College Savings,College Savings,CS Alaska,17041,,33,34,
6/22/2016,College Savings,College Savings,CS John Hancock,171658,,399,312,
6/22/2016,College Savings,College Savings,CS Maryland,119664,,231,193,
6/22/2016,College Savings,College Savings,CS National,54840,,108,112,
6/22/2016,II Services and Operations,RIS,RIS,1372863,,2456,2558,
6/22/2016,II Services and Operations,RCS PHONES,RCS PHONES,299481,,500,457,
6/22/2016,II Services and Operations,SCS,BRO,220465,,315,442,
6/22/2016,II Services and Operations,SCS,PSG,434211,,614,899,
6/23/2016,WISE,WISE,WISE Contractual,3235024,,5090,5586,
6/23/2016,College Savings,College Savings,CS Alaska,22499,,39,32,
6/23/2016,College Savings,College Savings,CS John Hancock,165707,,356,300,
6/23/2016,College Savings,College Savings,CS Maryland,135079,,227,186,
6/23/2016,College Savings,College Savings,CS National,48579,,115,108,
6/23/2016,II Services and Operations,RIS,RIS,1173893,,2170,2311,
6/23/2016,II Services and Operations,RCS PHONES,RCS PHONES,277860,,511,460,
6/23/2016,II Services and Operations,SCS,BRO,230472,,378,418,
6/23/2016,II Services and Operations,SCS,PSG,404460,,623,853,
6/24/2016,WISE,WISE,WISE Contractual,3902911,,6136,5431,
6/24/2016,College Savings,College Savings,CS Alaska,19629,,33,31,
6/24/2016,College Savings,College Savings,CS John Hancock,145354,,296,285,
6/24/2016,College Savings,College Savings,CS Maryland,132525,,227,176,
6/24/2016,College Savings,College Savings,CS National,74768,,119,102,
6/24/2016,II Services and Operations,RIS,RIS,1439905,,2766,2273,
6/24/2016,II Services and Operations,RCS PHONES,RCS PHONES,343658,,585,405,
6/24/2016,II Services and Operations,SCS,BRO,324464,,517,391,
6/24/2016,II Services and Operations,SCS,PSG,571555,,881,823,
6/25/2016,WISE,WISE,WISE Contractual,0,,0,0,
6/25/2016,College Savings,College Savings,CS Alaska,0,,0,0,
6/25/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
6/25/2016,College Savings,College Savings,CS Maryland,0,,0,0,
6/25/2016,College Savings,College Savings,CS National,0,,0,0,
6/25/2016,II Services and Operations,RIS,RIS,281658,,617,554,
6/25/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
6/25/2016,II Services and Operations,SCS,BRO,0,,0,0,
6/25/2016,II Services and Operations,SCS,PSG,0,,0,0,
6/26/2016,WISE,WISE,WISE Contractual,0,,0,0,
6/26/2016,College Savings,College Savings,CS Alaska,0,,0,0,
6/26/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
6/26/2016,College Savings,College Savings,CS Maryland,0,,0,0,
6/26/2016,College Savings,College Savings,CS National,0,,0,0,
6/26/2016,II Services and Operations,RIS,RIS,0,,1,0,
6/26/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
6/26/2016,II Services and Operations,SCS,BRO,0,,0,0,
6/26/2016,II Services and Operations,SCS,PSG,0,,0,0,
6/27/2016,WISE,WISE,WISE Contractual,4657333,,7427,8241,
6/27/2016,College Savings,College Savings,CS Alaska,33441,,55,41,
6/27/2016,College Savings,College Savings,CS John Hancock,200325,,413,420,
6/27/2016,College Savings,College Savings,CS Maryland,165526,,320,289,
6/27/2016,College Savings,College Savings,CS National,95276,,182,149,
6/27/2016,II Services and Operations,RIS,RIS,1859128,,3413,3531,
6/27/2016,II Services and Operations,RCS PHONES,RCS PHONES,404010,,716,675,
6/27/2016,II Services and Operations,SCS,BRO,349027,,635,547,
6/27/2016,II Services and Operations,SCS,PSG,634627,,983,860,
6/28/2016,WISE,WISE,WISE Contractual,3504892,,5666,6503,
6/28/2016,College Savings,College Savings,CS Alaska,25186,,46,33,
6/28/2016,College Savings,College Savings,CS John Hancock,173157,,433,335,
6/28/2016,College Savings,College Savings,CS Maryland,159597,,277,230,
6/28/2016,College Savings,College Savings,CS National,83833,,160,119,
6/28/2016,II Services and Operations,RIS,RIS,1360298,,2452,2642,
6/28/2016,II Services and Operations,RCS PHONES,RCS PHONES,315432,,562,593,
6/28/2016,II Services and Operations,SCS,BRO,363425,,585,425,
6/28/2016,II Services and Operations,SCS,PSG,475523,,756,660,
6/29/2016,WISE,WISE,WISE Contractual,3243720,,5274,5621,
6/29/2016,College Savings,College Savings,CS Alaska,15573,,26,32,
6/29/2016,College Savings,College Savings,CS John Hancock,149009,,332,319,
6/29/2016,College Savings,College Savings,CS Maryland,138476,,247,219,
6/29/2016,College Savings,College Savings,CS National,58903,,113,113,
6/29/2016,II Services and Operations,RIS,RIS,1287392,,2354,2310,
6/29/2016,II Services and Operations,RCS PHONES,RCS PHONES,325702,,553,553,
6/29/2016,II Services and Operations,SCS,BRO,281946,,497,386,
6/29/2016,II Services and Operations,SCS,PSG,449789,,710,592,
6/30/2016,WISE,WISE,WISE Contractual,3121861,,5018,5386,
6/30/2016,College Savings,College Savings,CS Alaska,20100,,40,28,
6/30/2016,College Savings,College Savings,CS John Hancock,155524,,351,279,
6/30/2016,College Savings,College Savings,CS Maryland,132364,,222,192,
6/30/2016,College Savings,College Savings,CS National,58120,,115,99,
6/30/2016,II Services and Operations,RIS,RIS,1217117,,2231,2122,
6/30/2016,II Services and Operations,RCS PHONES,RCS PHONES,266641,,465,438,
6/30/2016,II Services and Operations,SCS,BRO,334259,,559,345,
6/30/2016,II Services and Operations,SCS,PSG,472694,,707,569,
7/1/2016,WISE,WISE,WISE Contractual,3002634,,5023,5313,
7/1/2016,College Savings,College Savings,CS Alaska,27175,,39,25,
7/1/2016,College Savings,College Savings,CS John Hancock,125804,,303,253,
7/1/2016,College Savings,College Savings,CS Maryland,164151,,293,174,
7/1/2016,College Savings,College Savings,CS National,61824,,108,90,
7/1/2016,II Services and Operations,RIS,RIS,1432170,,2638,2016,
7/1/2016,II Services and Operations,RCS PHONES,RCS PHONES,271306,,454,428,
7/1/2016,II Services and Operations,SCS,BRO,372185,,596,284,
7/1/2016,II Services and Operations,SCS,PSG,495800,,831,568,
7/2/2016,WISE,WISE,WISE Contractual,0,,0,0,
7/2/2016,College Savings,College Savings,CS Alaska,0,,0,0,
7/2/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
7/2/2016,College Savings,College Savings,CS Maryland,0,,0,0,
7/2/2016,College Savings,College Savings,CS National,0,,0,0,
7/2/2016,II Services and Operations,RIS,RIS,0,,0,0,
7/2/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
7/2/2016,II Services and Operations,SCS,BRO,0,,0,0,
7/2/2016,II Services and Operations,SCS,PSG,0,,0,0,
7/3/2016,WISE,WISE,WISE Contractual,0,,0,0,
7/3/2016,College Savings,College Savings,CS Alaska,0,,0,0,
7/3/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
7/3/2016,College Savings,College Savings,CS Maryland,0,,0,0,
7/3/2016,College Savings,College Savings,CS National,0,,0,0,
7/3/2016,II Services and Operations,RIS,RIS,0,,0,0,
7/3/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
7/3/2016,II Services and Operations,SCS,BRO,0,,0,0,
7/3/2016,II Services and Operations,SCS,PSG,0,,0,0,
7/4/2016,WISE,WISE,WISE Contractual,0,,0,0,
7/4/2016,College Savings,College Savings,CS Alaska,0,,0,0,
7/4/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
7/4/2016,College Savings,College Savings,CS Maryland,0,,0,0,
7/4/2016,College Savings,College Savings,CS National,0,,0,0,
7/4/2016,II Services and Operations,RIS,RIS,0,,0,0,
7/4/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
7/4/2016,II Services and Operations,SCS,BRO,0,,0,0,
7/4/2016,II Services and Operations,SCS,PSG,0,,0,0,
7/5/2016,WISE,WISE,WISE Contractual,4586858,,7389,8525,
7/5/2016,College Savings,College Savings,CS Alaska,27793,,57,55,
7/5/2016,College Savings,College Savings,CS John Hancock,228349,,488,559,
7/5/2016,College Savings,College Savings,CS Maryland,268694,,436,384,
7/5/2016,College Savings,College Savings,CS National,104594,,211,198,
7/5/2016,II Services and Operations,RIS,RIS,1899341,,3402,3358,
7/5/2016,II Services and Operations,RCS PHONES,RCS PHONES,374622,,651,682,
7/5/2016,II Services and Operations,SCS,BRO,373169,,595,522,
7/5/2016,II Services and Operations,SCS,PSG,626529,,983,1154,
7/6/2016,WISE,WISE,WISE Contractual,3779385,,5995,6880,
7/6/2016,College Savings,College Savings,CS Alaska,23558,,44,46,
7/6/2016,College Savings,College Savings,CS John Hancock,215798,,455,469,
7/6/2016,College Savings,College Savings,CS Maryland,178379,,347,322,
7/6/2016,College Savings,College Savings,CS National,83094,,154,166,
7/6/2016,II Services and Operations,RIS,RIS,1497446,,2625,2882,
7/6/2016,II Services and Operations,RCS PHONES,RCS PHONES,284892,,542,519,
7/6/2016,II Services and Operations,SCS,BRO,310293,,503,502,
7/6/2016,II Services and Operations,SCS,PSG,504318,,756,1002,
7/7/2016,WISE,WISE,WISE Contractual,3504776,,5598,6401,
7/7/2016,College Savings,College Savings,CS Alaska,34340,,48,45,
7/7/2016,College Savings,College Savings,CS John Hancock,204741,,460,451,
7/7/2016,College Savings,College Savings,CS Maryland,217301,,377,310,
7/7/2016,College Savings,College Savings,CS National,91483,,167,160,
7/7/2016,II Services and Operations,RIS,RIS,1419136,,2649,2511,
7/7/2016,II Services and Operations,RCS PHONES,RCS PHONES,268776,,450,492,
7/7/2016,II Services and Operations,SCS,BRO,260285,,403,462,
7/7/2016,II Services and Operations,SCS,PSG,523352,,753,770,
7/8/2016,WISE,WISE,WISE Contractual,3421983,,5689,5694,
7/8/2016,College Savings,College Savings,CS Alaska,41778,,62,46,
7/8/2016,College Savings,College Savings,CS John Hancock,226040,,437,466,
7/8/2016,College Savings,College Savings,CS Maryland,292999,,479,320,
7/8/2016,College Savings,College Savings,CS National,104490,,181,165,
7/8/2016,II Services and Operations,RIS,RIS,1821679,,3321,2401,
7/8/2016,II Services and Operations,RCS PHONES,RCS PHONES,320878,,538,538,
7/8/2016,II Services and Operations,SCS,BRO,403136,,611,443,
7/8/2016,II Services and Operations,SCS,PSG,681950,,1237,722,
7/9/2016,WISE,WISE,WISE Contractual,0,,0,0,
7/9/2016,College Savings,College Savings,CS Alaska,0,,0,0,
7/9/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
7/9/2016,College Savings,College Savings,CS Maryland,0,,0,0,
7/9/2016,College Savings,College Savings,CS National,0,,0,0,
7/9/2016,II Services and Operations,RIS,RIS,375428,,983,566,
7/9/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
7/9/2016,II Services and Operations,SCS,BRO,0,,0,0,
7/9/2016,II Services and Operations,SCS,PSG,0,,0,0,
7/10/2016,WISE,WISE,WISE Contractual,0,,0,0,
7/10/2016,College Savings,College Savings,CS Alaska,0,,0,0,
7/10/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
7/10/2016,College Savings,College Savings,CS Maryland,0,,0,0,
7/10/2016,College Savings,College Savings,CS National,0,,0,0,
7/10/2016,II Services and Operations,RIS,RIS,0,,0,0,
7/10/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
7/10/2016,II Services and Operations,SCS,BRO,0,,0,0,
7/10/2016,II Services and Operations,SCS,PSG,0,,0,0,
7/11/2016,WISE,WISE,WISE Contractual,4669438,,7828,8542,
7/11/2016,College Savings,College Savings,CS Alaska,57426,,92,90,
7/11/2016,College Savings,College Savings,CS John Hancock,348015,,736,897,
7/11/2016,College Savings,College Savings,CS Maryland,472625,,779,626,
7/11/2016,College Savings,College Savings,CS National,165720,,293,317,
7/11/2016,II Services and Operations,RIS,RIS,2733490,,5222,3342,
7/11/2016,II Services and Operations,RCS PHONES,RCS PHONES,411225,,698,774,
7/11/2016,II Services and Operations,SCS,BRO,389187,,659,528,
7/11/2016,II Services and Operations,SCS,PSG,1058543,,1782,1121,
7/12/2016,WISE,WISE,WISE Contractual,4035014,,6654,7411,
7/12/2016,College Savings,College Savings,CS Alaska,24291,,37,75,
7/12/2016,College Savings,College Savings,CS John Hancock,294807,,644,639,
7/12/2016,College Savings,College Savings,CS Maryland,345900,,595,607,
7/12/2016,College Savings,College Savings,CS National,127728,,210,248,
7/12/2016,II Services and Operations,RIS,RIS,1971452,,3656,2875,
7/12/2016,II Services and Operations,RCS PHONES,RCS PHONES,426157,,751,631,
7/12/2016,II Services and Operations,SCS,BRO,327969,,502,498,
7/12/2016,II Services and Operations,SCS,PSG,766781,,1153,1054,
7/13/2016,WISE,WISE,WISE Contractual,3766483,,6113,6990,
7/13/2016,College Savings,College Savings,CS Alaska,28106,,59,66,
7/13/2016,College Savings,College Savings,CS John Hancock,284620,,599,559,
7/13/2016,College Savings,College Savings,CS Maryland,293076,,495,527,
7/13/2016,College Savings,College Savings,CS National,98604,,188,216,
7/13/2016,II Services and Operations,RIS,RIS,1672977,,3287,2661,
7/13/2016,II Services and Operations,RCS PHONES,RCS PHONES,388902,,592,583,
7/13/2016,II Services and Operations,SCS,BRO,253227,,388,442,
7/13/2016,II Services and Operations,SCS,PSG,651017,,1018,869,
7/14/2016,WISE,WISE,WISE Contractual,3770062,,6422,6844,
7/14/2016,College Savings,College Savings,CS Alaska,31180,,51,55,
7/14/2016,College Savings,College Savings,CS John Hancock,264654,,555,462,
7/14/2016,College Savings,College Savings,CS Maryland,293878,,480,435,
7/14/2016,College Savings,College Savings,CS National,95151,,184,179,
7/14/2016,II Services and Operations,RIS,RIS,1679424,,3226,1997,
7/14/2016,II Services and Operations,RCS PHONES,RCS PHONES,304195,,537,550,
7/14/2016,II Services and Operations,SCS,BRO,249213,,398,418,
7/14/2016,II Services and Operations,SCS,PSG,621348,,974,744,
7/15/2016,WISE,WISE,WISE Contractual,3541387,,6022,6794,
7/15/2016,College Savings,College Savings,CS Alaska,23007,,43,56,
7/15/2016,College Savings,College Savings,CS John Hancock,220414,,462,474,
7/15/2016,College Savings,College Savings,CS Maryland,278097,,498,446,
7/15/2016,College Savings,College Savings,CS National,93924,,183,183,
7/15/2016,II Services and Operations,RIS,RIS,1614029,,2992,2031,
7/15/2016,II Services and Operations,RCS PHONES,RCS PHONES,360414,,606,532,
7/15/2016,II Services and Operations,SCS,BRO,252431,,387,391,
7/15/2016,II Services and Operations,SCS,PSG,651141,,968,690,
7/16/2016,WISE,WISE,WISE Contractual,0,,0,0,
7/16/2016,College Savings,College Savings,CS Alaska,0,,0,0,
7/16/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
7/16/2016,College Savings,College Savings,CS Maryland,0,,0,0,
7/16/2016,College Savings,College Savings,CS National,0,,0,0,
7/16/2016,II Services and Operations,RIS,RIS,309912,,618,895,
7/16/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
7/16/2016,II Services and Operations,SCS,BRO,0,,0,0,
7/16/2016,II Services and Operations,SCS,PSG,0,,0,0,
7/17/2016,WISE,WISE,WISE Contractual,0,,0,0,
7/17/2016,College Savings,College Savings,CS Alaska,0,,0,0,
7/17/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
7/17/2016,College Savings,College Savings,CS Maryland,0,,0,0,
7/17/2016,College Savings,College Savings,CS National,0,,0,0,
7/17/2016,II Services and Operations,RIS,RIS,0,,0,0,
7/17/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
7/17/2016,II Services and Operations,SCS,BRO,0,,0,0,
7/17/2016,II Services and Operations,SCS,PSG,0,,0,0,
7/18/2016,WISE,WISE,WISE Contractual,4932308,,8262,8962,
7/18/2016,College Savings,College Savings,CS Alaska,45304,,71,88,
7/18/2016,College Savings,College Savings,CS John Hancock,343929,,733,740,
7/18/2016,College Savings,College Savings,CS Maryland,450893,,764,696,
7/18/2016,College Savings,College Savings,CS National,124340,,243,286,
7/18/2016,II Services and Operations,RIS,RIS,2147534,,3674,4753,
7/18/2016,II Services and Operations,RCS PHONES,RCS PHONES,461203,,824,728,
7/18/2016,II Services and Operations,SCS,BRO,313256,,439,475,
7/18/2016,II Services and Operations,SCS,PSG,701211,,1079,927,
7/19/2016,WISE,WISE,WISE Contractual,3935768,,6608,7262,
7/19/2016,College Savings,College Savings,CS Alaska,36485,,61,71,
7/19/2016,College Savings,College Savings,CS John Hancock,329572,,672,598,
7/19/2016,College Savings,College Savings,CS Maryland,330690,,572,563,
7/19/2016,College Savings,College Savings,CS National,105079,,210,231,
7/19/2016,II Services and Operations,RIS,RIS,1662741,,2828,3017,
7/19/2016,II Services and Operations,RCS PHONES,RCS PHONES,395487,,655,591,
7/19/2016,II Services and Operations,SCS,BRO,253746,,391,412,
7/19/2016,II Services and Operations,SCS,PSG,556147,,798,766,
7/20/2016,WISE,WISE,WISE Contractual,3678927,,6223,6821,
7/20/2016,College Savings,College Savings,CS Alaska,32071,,61,60,
7/20/2016,College Savings,College Savings,CS John Hancock,292439,,610,505,
7/20/2016,College Savings,College Savings,CS Maryland,277048,,470,476,
7/20/2016,College Savings,College Savings,CS National,107055,,205,195,
7/20/2016,II Services and Operations,RIS,RIS,1417632,,2749,2605,
7/20/2016,II Services and Operations,RCS PHONES,RCS PHONES,402936,,680,544,
7/20/2016,II Services and Operations,SCS,BRO,214025,,369,388,
7/20/2016,II Services and Operations,SCS,PSG,504762,,781,774,
7/21/2016,WISE,WISE,WISE Contractual,3277565,,5535,6452,
7/21/2016,College Savings,College Savings,CS Alaska,33894,,55,57,
7/21/2016,College Savings,College Savings,CS John Hancock,283312,,570,481,
7/21/2016,College Savings,College Savings,CS Maryland,268754,,474,453,
7/21/2016,College Savings,College Savings,CS National,76331,,154,186,
7/21/2016,II Services and Operations,RIS,RIS,1344951,,2412,2425,
7/21/2016,II Services and Operations,RCS PHONES,RCS PHONES,336588,,556,511,
7/21/2016,II Services and Operations,SCS,BRO,270274,,399,378,
7/21/2016,II Services and Operations,SCS,PSG,481374,,678,734,
7/22/2016,WISE,WISE,WISE Contractual,3199594,,5463,6348,
7/22/2016,College Savings,College Savings,CS Alaska,30697,,49,57,
7/22/2016,College Savings,College Savings,CS John Hancock,257972,,522,479,
7/22/2016,College Savings,College Savings,CS Maryland,300291,,530,451,
7/22/2016,College Savings,College Savings,CS National,109565,,197,185,
7/22/2016,II Services and Operations,RIS,RIS,1554511,,2405,2456,
7/22/2016,II Services and Operations,RCS PHONES,RCS PHONES,311122,,531,511,
7/22/2016,II Services and Operations,SCS,BRO,239651,,347,403,
7/22/2016,II Services and Operations,SCS,PSG,488299,,718,764,
7/23/2016,WISE,WISE,WISE Contractual,0,,0,0,
7/23/2016,College Savings,College Savings,CS Alaska,0,,0,0,
7/23/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
7/23/2016,College Savings,College Savings,CS Maryland,0,,0,0,
7/23/2016,College Savings,College Savings,CS National,0,,0,0,
7/23/2016,II Services and Operations,RIS,RIS,282950,,619,618,
7/23/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
7/23/2016,II Services and Operations,SCS,BRO,0,,0,0,
7/23/2016,II Services and Operations,SCS,PSG,0,,0,0,
7/24/2016,WISE,WISE,WISE Contractual,0,,0,0,
7/24/2016,College Savings,College Savings,CS Alaska,0,,0,0,
7/24/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
7/24/2016,College Savings,College Savings,CS Maryland,0,,0,0,
7/24/2016,College Savings,College Savings,CS National,0,,0,0,
7/24/2016,II Services and Operations,RIS,RIS,0,,0,0,
7/24/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
7/24/2016,II Services and Operations,SCS,BRO,0,,0,0,
7/24/2016,II Services and Operations,SCS,PSG,0,,0,0,
7/25/2016,WISE,WISE,WISE Contractual,4593717,,7864,8402,
7/25/2016,College Savings,College Savings,CS Alaska,51202,,96,85,
7/25/2016,College Savings,College Savings,CS John Hancock,399892,,825,823,
7/25/2016,College Savings,College Savings,CS Maryland,434398,,799,766,
7/25/2016,College Savings,College Savings,CS National,160446,,296,301,
7/25/2016,II Services and Operations,RIS,RIS,1969271,,3269,3572,
7/25/2016,II Services and Operations,RCS PHONES,RCS PHONES,429161,,706,735,
7/25/2016,II Services and Operations,SCS,BRO,300149,,478,454,
7/25/2016,II Services and Operations,SCS,PSG,606319,,901,1047,
7/26/2016,WISE,WISE,WISE Contractual,3645112,,6186,6779,
7/26/2016,College Savings,College Savings,CS Alaska,39441,,87,67,
7/26/2016,College Savings,College Savings,CS John Hancock,360578,,748,642,
7/26/2016,College Savings,College Savings,CS Maryland,348344,,585,597,
7/26/2016,College Savings,College Savings,CS National,128201,,254,235,
7/26/2016,II Services and Operations,RIS,RIS,1651973,,2691,2921,
7/26/2016,II Services and Operations,RCS PHONES,RCS PHONES,371958,,607,589,
7/26/2016,II Services and Operations,SCS,BRO,242586,,379,366,
7/26/2016,II Services and Operations,SCS,PSG,489502,,743,829,
7/27/2016,WISE,WISE,WISE Contractual,3246518,,5529,6162,
7/27/2016,College Savings,College Savings,CS Alaska,34277,,58,64,
7/27/2016,College Savings,College Savings,CS John Hancock,290809,,637,615,
7/27/2016,College Savings,College Savings,CS Maryland,298472,,522,572,
7/27/2016,College Savings,College Savings,CS National,91887,,193,225,
7/27/2016,II Services and Operations,RIS,RIS,1429291,,2458,2617,
7/27/2016,II Services and Operations,RCS PHONES,RCS PHONES,332862,,560,537,
7/27/2016,II Services and Operations,SCS,BRO,237015,,379,348,
7/27/2016,II Services and Operations,SCS,PSG,398279,,634,751,
7/28/2016,WISE,WISE,WISE Contractual,3127766,,5380,6191,
7/28/2016,College Savings,College Savings,CS Alaska,30102,,59,51,
7/28/2016,College Savings,College Savings,CS John Hancock,267026,,569,494,
7/28/2016,College Savings,College Savings,CS Maryland,242689,,422,460,
7/28/2016,College Savings,College Savings,CS National,95381,,178,181,
7/28/2016,II Services and Operations,RIS,RIS,1344743,,2284,2446,
7/28/2016,II Services and Operations,RCS PHONES,RCS PHONES,347230,,561,496,
7/28/2016,II Services and Operations,SCS,BRO,228640,,363,330,
7/28/2016,II Services and Operations,SCS,PSG,439874,,652,713,
7/29/2016,WISE,WISE,WISE Contractual,2965547,,5214,6222,
7/29/2016,College Savings,College Savings,CS Alaska,29350,,55,51,
7/29/2016,College Savings,College Savings,CS John Hancock,262547,,509,492,
7/29/2016,College Savings,College Savings,CS Maryland,285080,,531,458,
7/29/2016,College Savings,College Savings,CS National,106575,,185,180,
7/29/2016,II Services and Operations,RIS,RIS,1491151,,2350,2478,
7/29/2016,II Services and Operations,RCS PHONES,RCS PHONES,353764,,575,521,
7/29/2016,II Services and Operations,SCS,BRO,242491,,379,333,
7/29/2016,II Services and Operations,SCS,PSG,485163,,728,740,
7/30/2016,WISE,WISE,WISE Contractual,0,,0,0,
7/30/2016,College Savings,College Savings,CS Alaska,0,,0,0,
7/30/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
7/30/2016,College Savings,College Savings,CS Maryland,0,,0,0,
7/30/2016,College Savings,College Savings,CS National,0,,0,0,
7/30/2016,II Services and Operations,RIS,RIS,274714,,575,611,
7/30/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
7/30/2016,II Services and Operations,SCS,BRO,0,,0,0,
7/30/2016,II Services and Operations,SCS,PSG,0,,0,0,
7/31/2016,WISE,WISE,WISE Contractual,0,,0,0,
7/31/2016,College Savings,College Savings,CS Alaska,0,,0,0,
7/31/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
7/31/2016,College Savings,College Savings,CS Maryland,0,,0,0,
7/31/2016,College Savings,College Savings,CS National,0,,0,0,
7/31/2016,II Services and Operations,RIS,RIS,0,,1,0,
7/31/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
7/31/2016,II Services and Operations,SCS,BRO,0,,0,0,
7/31/2016,II Services and Operations,SCS,PSG,0,,0,0,
8/1/2016,WISE,WISE,WISE Contractual,4282347,,7371,8410,
8/1/2016,College Savings,College Savings,CS Alaska,53585,,89,78,
8/1/2016,College Savings,College Savings,CS John Hancock,363237,,772,808,
8/1/2016,College Savings,College Savings,CS Maryland,555467,,837,842,
8/1/2016,College Savings,College Savings,CS National,182037,,375,268,
8/1/2016,II Services and Operations,RIS,RIS,2068235,,3368,3822,
8/1/2016,II Services and Operations,RCS PHONES,RCS PHONES,383140,,675,718,
8/1/2016,II Services and Operations,SCS,BRO,309824,,520,464,
8/1/2016,II Services and Operations,SCS,PSG,626779,,1027,1121,
8/2/2016,WISE,WISE,WISE Contractual,3362828,,5818,6773,
8/2/2016,College Savings,College Savings,CS Alaska,54263,,97,64,
