ACTIVITY DATE,DIVISION,BUSINESS UNIT,BUSINESS LINE,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST,
1/11/2016,College Savings,College Savings,CS John Hancock,436316,,874,908,
1/11/2016,College Savings,College Savings,CS Maryland,552397,,925,881,
1/11/2016,College Savings,College Savings,CS National,180195,,330,385,
1/11/2016,II Services and Operations,RIS,RIS,3379494,,5079,6478,
1/11/2016,II Services and Operations,RCS PHONES,RCS PHONES,517906,,799,1355,
1/11/2016,II Services and Operations,SCS,BRO,426351,,631,827,
1/11/2016,II Services and Operations,SCS,PSG,1296176,,1648,2184,
1/12/2016,WISE,WISE,WISE Contractual,4399514,,6493,10011,
1/12/2016,College Savings,College Savings,CS Alaska,70692,,119,96,
1/12/2016,College Savings,College Savings,CS John Hancock,331064,,741,712,
1/12/2016,College Savings,College Savings,CS Maryland,370936,,597,691,
1/12/2016,College Savings,College Savings,CS National,129629,,224,302,
1/12/2016,II Services and Operations,RIS,RIS,2555245,,4080,4761,
1/12/2016,II Services and Operations,RCS PHONES,RCS PHONES,481048,,741,1231,
1/12/2016,II Services and Operations,SCS,BRO,375499,,532,732,
1/12/2016,II Services and Operations,SCS,PSG,898168,,1177,1902,
1/13/2016,WISE,WISE,WISE Contractual,4158719,,6137,7601,
1/13/2016,College Savings,College Savings,CS Alaska,65789,,93,76,
1/13/2016,College Savings,College Savings,CS John Hancock,261500,,568,566,
1/13/2016,College Savings,College Savings,CS Maryland,292881,,472,549,
1/13/2016,College Savings,College Savings,CS National,108543,,199,240,
1/13/2016,II Services and Operations,RIS,RIS,2308801,,3610,4117,
1/13/2016,II Services and Operations,RCS PHONES,RCS PHONES,434736,,696,1176,
1/13/2016,II Services and Operations,SCS,BRO,370441,,542,687,
1/13/2016,II Services and Operations,SCS,PSG,797627,,1096,1676,
1/14/2016,WISE,WISE,WISE Contractual,4391586,,6454,7100,
1/14/2016,College Savings,College Savings,CS Alaska,68313,,118,71,
1/14/2016,College Savings,College Savings,CS John Hancock,243422,,588,526,
1/14/2016,College Savings,College Savings,CS Maryland,226972,,429,510,
1/14/2016,College Savings,College Savings,CS National,101380,,201,223,
1/14/2016,II Services and Operations,RIS,RIS,2185619,,3282,3722,
1/14/2016,II Services and Operations,RCS PHONES,RCS PHONES,405504,,657,1117,
1/14/2016,II Services and Operations,SCS,BRO,323161,,474,622,
1/14/2016,II Services and Operations,SCS,PSG,744994,,985,1461,
1/15/2016,WISE,WISE,WISE Contractual,4708926,,7180,7318,
1/15/2016,College Savings,College Savings,CS Alaska,63400,,101,73,
1/15/2016,College Savings,College Savings,CS John Hancock,209226,,467,539,
1/15/2016,College Savings,College Savings,CS Maryland,278223,,480,523,
1/15/2016,College Savings,College Savings,CS National,121571,,216,229,
1/15/2016,II Services and Operations,RIS,RIS,2449216,,3941,3611,
1/15/2016,II Services and Operations,RCS PHONES,RCS PHONES,546004,,944,988,
1/15/2016,II Services and Operations,SCS,BRO,434221,,626,637,
1/15/2016,II Services and Operations,SCS,PSG,895445,,1293,1517,
1/16/2016,WISE,WISE,WISE Contractual,0,,0,0,
1/16/2016,College Savings,College Savings,CS Alaska,0,,0,0,
