,old,prophet,kpi,start_train,end_train
bro,48697.39423076923,43695.84290680933,handle_time,2016-03-10,2020-06-01
psg,82164.5,73158.41374037214,handle_time,2017-01-10,2020-06-01
wis,497281.2244897959,393280.9114073255,handle_time,2016-01-20,2020-06-01
col,25.7971920128732,39.178904976664136,aht,2017-01-01,2020-06-01
scs,124690.78571428571,100969.88602782642,handle_time,2018-01-20,2020-06-01
ris,141385.193877551,112769.40041287408,handle_time,2017-01-20,2020-06-01
rcs,37143.69387755102,37131.78603069552,handle_time,2016-04-30,2020-06-01
